#########################################
# FORMAT = TEX; MJX_ID; WIDTH; HEIGHT; DELTA_X
# keep alphabetical order in categories!
# 2023 by Andreas Schwenk
#########################################

# ----- special chars (only used in context) -----
\mathbb{J}; TEX-D-1D541; 450; 750; 0
\mathbb{K}; TEX-D-1D542; 750; 750; 0
\mathbb{L}; TEX-D-1D543; 750; 750; 0
\mathbb{M}; TEX-D-1D544; 1000; 750; 0
\mathbb{N}; TEX-D-2115; 750; 750; 0
\mathbb{O}; TEX-D-1D546; 750; 750; 0
\mathbb{P}; TEX-D-2119; 700; 750; 0
\mathbb{Q}; TEX-D-211A; 800; 750; 0
\mathbb{R}; TEX-D-211D; 750; 750; 0
\mathbb{S}; TEX-D-1D54A; 600; 750; 0
\mathbb{T}; TEX-D-1D54B; 750; 750; 0
\mathbb{U}; TEX-D-1D54C; 750; 750; 0
\mathbb{V}; TEX-D-1D54D; 750; 750; 0
\mathbb{W}; TEX-D-1D54E; 1000; 750; 0
\mathbb{X}; TEX-D-1D54F; 750; 750; 0
\mathbb{Y}; TEX-D-1D550; 750; 750; 0
\mathbb{Z}; TEX-D-2124; 750; 750; 0

# ----- mathcal -----
\mathcal{A}; TEX-C-41; 900; 750; 0
\mathcal{B}; TEX-C-42; 750; 750; 0
\mathcal{C}; TEX-C-43; 550; 750; 0
\mathcal{D}; TEX-C-44; 850; 750; 0
\mathcal{E}; TEX-C-45; 600; 750; 0
\mathcal{F}; TEX-C-46; 900; 750; 0
\mathcal{G}; TEX-C-47; 700; 750; 0
\mathcal{H}; TEX-C-48; 900; 750; 0
\mathcal{I}; TEX-C-49; 750; 750; 0
\mathcal{J}; TEX-C-4A; 900; 750; 0
\mathcal{K}; TEX-C-4B; 850; 750; 0
\mathcal{L}; TEX-C-4C; 800; 750; 0
\mathcal{M}; TEX-C-4D; 1200; 750; 0
\mathcal{N}; TEX-C-4E; 900; 750; 0
\mathcal{O}; TEX-C-4F; 850; 750; 0
\mathcal{P}; TEX-C-50; 800; 750; 0
\mathcal{Q}; TEX-C-51; 900; 750; 0
\mathcal{R}; TEX-C-52; 900; 750; 0
\mathcal{S}; TEX-C-53; 800; 750; 0
\mathcal{T}; TEX-C-54; 900; 750; 0
\mathcal{U}; TEX-C-55; 800; 750; 0
\mathcal{V}; TEX-C-56; 800; 750; 0
\mathcal{W}; TEX-C-57; 1100; 750; 0
\mathcal{X}; TEX-C-58; 900; 750; 0
\mathcal{Y}; TEX-C-59; 850; 750; 0
\mathcal{Z}; TEX-C-5A; 900; 750; 0
